course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
in person	ANSC	ANSC255	TuTh 11:00am 12:50pm	20	1	Introduction to Aquaculture	Daniel Theisen,Mohamed Salem	
in person	ANSC	ANSC359	Sa 9:00am 11:00am	10	9	Internship Experience in Animal and Avian Sciences	Sarah Balcom	
online	ANSC	ANSC101	MWF 1:00pm 1:50pm	156	33	Principles of Animal Science	Sarah Balcom	
online	ANSC	ANSC204	MW 2:00pm 2:50pm	110	27	Anatomy of Domestic Animals	Angela Black	
online	ANSC	ANSC205	Tu 9:00am 12:00pm	22	0	Anatomy of Domestic Animals Laboratory	Angela Black	
online	ANSC	ANSC205	Tu 1:00pm 4:00pm	22	1	Anatomy of Domestic Animals Laboratory	Angela Black	
online	ANSC	ANSC205	Th 9:00am 12:00pm	22	2	Anatomy of Domestic Animals Laboratory	Angela Black	
online	ANSC	ANSC205	Th 1:00pm 4:00pm	22	1	Anatomy of Domestic Animals Laboratory	Angela Black	
online	ANSC	ANSC210		80	62	Veterinary Terminology	Sarah Balcom	
online	ANSC	ANSC220		40	1	Livestock Management	R Apter	
online	ANSC	ANSC227		20	0	Eating with Eyes Wide Open	R Apter	
online	ANSC	ANSC227		20	0	Eating with Eyes Wide Open	R Apter	
online	ANSC	ANSC227		20	0	Eating with Eyes Wide Open	R Apter	
online	ANSC	ANSC252	M 4:00pm 5:50pm	80	54	Introduction to the Diseases of Wildlife	Cindy Driscoll	M 6:00pm 6:50pm
online	ANSC	ANSC314	MWF 9:00am 9:50am	88	5	Comparative Animal Nutrition	Nishanth Sunny	
online	ANSC	ANSC359	Tu 3:30pm 5:30pm	20	16	Internship Experience in Animal and Avian Sciences	Monica VanKlompenberg	
online	ANSC	ANSC379	W 12:00pm 12:50pm	15	9	Animal Science Undergraduate Teaching Assistant Seminar	Sarah Balcom	
online	ANSC	ANSC388		5	5	Honors Thesis Research	Chad Stahl	
online	ANSC	ANSC388		5	5	Honors Thesis Research	Richard Kohn	
online	ANSC	ANSC388		5	5	Honors Thesis Research	Amy Burk	
online	ANSC	ANSC388		5	4	Honors Thesis Research	Shawna Weimer	
online	ANSC	ANSC388		5	5	Honors Thesis Research	Chad Stahl	
online	ANSC	ANSC410	TuTh 12:30pm 1:45pm	20	1	The Gut Microbiome and its Roles in Health and Disease	Debabrata Biswas	
online	ANSC	ANSC417	TuTh 12:30pm 1:45pm	20	4	Regulatory Issues in Animal Care and Management	Monica VanKlompenberg	
online	ANSC	ANSC446	TuTh 2:00pm 3:15pm	80	34	Physiology of Mammalian Reproduction	Monica VanKlompenberg	
online	ANSC	ANSC447	F 1:00pm 2:50pm	30	0	Physiology of Mammalian Reproduction Laboratory	Megan McLean	
online	ANSC	ANSC450	MWF 3:00pm 3:50pm	35	9	Animal Breeding Plans	Monica VanKlompenberg	
online	ANSC	ANSC455		55	0	Applied Animal Behavior	R Apter	
online	ANSC	ANSC460	TuTh 2:00pm 3:15pm	35	23	Comparative Vertebrate Immunology	Zhengguo Xiao	
